Percentage_loss,Class
37.128742,Yield
34.22005,Biomass
37.525497,Biomass
33.83171,Biomass
36.827564,Yield
34.10193,Biomass
34.10881,Biomass
51.185013,Plant growth
40.19367,Plant growth
37.363033,Biomass
33.886,Biomass
34.68308,Plant growth
37.597214,Biomass
40.19367,Plant growth
35.73161,Biomass
34.096153,Biomass
36.625893,Yield
34.10193,Biomass
36.969288,Yield
55.960106,Biomass
33.13123,Biomass
35.36934,Yield
34.598167,Yield
36.625893,Yield
33.713398,Biomass
36.954304,Plant growth
40.28048,Plant growth
35.775932,Yield
34.850452,Biomass
37.576164,Yield
50.70008,Biomass
33.80836,Biomass
36.0706,Biomass
36.636578,Yield
37.031876,Biomass
35.67202,Plant growth
37.594543,Biomass
36.94633,Yield
40.649635,Biomass
35.592598,Biomass
37.27719,Biomass
35.363766,Yield
35.813248,Biomass
40.79784,Biomass
35.36531,Yield
35.369038,Yield
38.582054,Biomass
31.039888,Plant growth
40.48928,Biomass
36.60025,Yield
35.349483,Yield
42.125072,Yield
38.37738,Biomass
37.18292,Biomass
37.64994,Biomass
36.798878,Yield
34.744297,Plant growth
37.416775,Biomass
37.58846,Yield
36.011597,Biomass
33.899574,Biomass
37.576164,Yield
38.355404,Yield
37.203636,Yield
30.91875,Plant growth
37.61311,Yield
34.684875,Plant growth
37.123604,Yield
35.49159,Biomass
30.814728,Biomass
38.786564,Biomass
37.193897,Yield
33.493015,Biomass
34.2397,Biomass
36.030384,Yield
34.1057,Biomass
27.811073,Yield
33.67549,Biomass
35.818092,Biomass
54.796185,Biomass
34.64912,Plant growth
34.854122,Biomass
37.61054,Biomass
32.199436,Biomass
36.977158,Plant growth
37.790634,Plant growth
36.38158,Biomass
36.97582,Biomass
35.368286,Yield
34.802658,Biomass
37.512463,Yield
36.56405,Yield
31.274742,Biomass
36.83933,Yield
33.82708,Biomass
34.10135,Biomass
37.576485,Biomass
35.31759,Yield
35.31421,Yield
38.304077,Yield
37.4163,Biomass
37.768482,Yield
35.96772,Plant growth
35.991795,Biomass
37.674183,Biomass
37.7073,Yield
39.189674,Yield
33.894806,Biomass
37.256176,Biomass
34.84269,Biomass
37.77314,Biomass
35.955273,Biomass
31.369581,Biomass
31.231964,Biomass
35.31608,Biomass
37.5505,Plant growth
38.18086,Yield
35.574894,Yield
33.89712,Biomass
35.68168,Biomass
38.170166,Biomass
33.261414,Biomass
37.170567,Biomass
38.280697,Yield
37.193897,Yield
39.376648,Yield
34.140053,Biomass
33.27902,Biomass
37.555954,Biomass
37.09572,Yield
37.601887,Yield
34.23275,Biomass
31.711432,Biomass
44.26529,Yield
33.679756,Biomass
35.34279,Biomass
33.630966,Biomass
34.08266,Biomass
35.363766,Yield
36.674652,Yield
35.28375,Yield
31.381512,Biomass
46.03861,Yield
32.74573,Biomass
31.804625,Biomass
42.301342,Biomass
34.5268,Yield
33.65642,Biomass
37.089165,Yield
44.278652,Plant growth
30.796633,Plant growth
39.59128,Yield
35.370186,Biomass
34.807518,Biomass
38.16698,Biomass
36.923668,Yield
32.42027,Biomass
35.89619,Biomass
36.435207,Plant growth
31.854311,Biomass
34.13029,Biomass
33.880676,Biomass
37.601887,Yield
33.903458,Biomass
35.34853,Yield
37.193897,Yield
33.89402,Plant growth
32.399185,Biomass
33.814556,Biomass
30.814728,Biomass
37.769497,Yield
37.409794,Biomass
34.39404,Yield
34.844456,Biomass
37.44967,Biomass
31.260067,Plant growth
35.464825,Biomass
37.46238,Yield
33.899574,Biomass
42.182255,Biomass
35.627174,Biomass
38.304077,Yield
37.564117,Biomass
32.914536,Biomass
35.314583,Yield
50.70008,Biomass
35.930485,Yield
42.020924,Yield
37.18811,Yield
42.237408,Biomass
34.68624,Plant growth
36.673172,Biomass
41.47016,Plant growth
37.35713,Biomass
45.672577,Plant growth
36.60025,Yield
55.166775,Biomass
36.43248,Plant growth
36.05283,Yield
33.895664,Biomass
37.865578,Yield
36.052933,Yield
35.43823,Yield
37.877064,Yield
36.450634,Plant growth
55.739433,Biomass
36.587566,Yield
32.47423,Biomass
36.79659,Plant growth
36.741493,Yield
35.28375,Yield
37.66715,Biomass
37.284615,Biomass
35.806717,Yield
31.050413,Plant growth
30.624577,Plant growth
42.182255,Biomass
35.317726,Yield
37.089504,Yield
55.960106,Biomass
44.27611,Plant growth
37.240185,Biomass
36.782784,Plant growth
37.49843,Biomass
36.472244,Plant growth
38.097332,Yield
37.71344,Yield
34.248432,Biomass
32.821373,Plant growth
37.579433,Yield
51.200615,Plant growth
34.22141,Biomass
33.890198,Biomass
35.32944,Yield
37.186535,Yield
37.153454,Biomass
35.68847,Yield
34.802658,Biomass
39.215103,Plant growth
38.8241,Biomass
37.607773,Yield
37.221874,Yield
35.31421,Yield
34.10533,Biomass
37.583527,Yield
37.16772,Biomass
37.089165,Yield
36.538887,Yield
33.83981,Plant growth
40.109943,Plant growth
28.612371,Yield
34.850452,Biomass
30.814728,Biomass
37.610073,Yield
37.10565,Biomass
30.027765,Biomass
35.328255,Yield
35.77549,Yield
37.769497,Yield
37.607773,Yield
37.142353,Yield
33.730637,Biomass
37.56083,Biomass
30.680233,Plant growth
36.052933,Yield
34.64572,Plant growth
35.875217,Biomass
34.756424,Biomass
37.56814,Biomass
37.079327,Biomass
36.538975,Biomass
37.711292,Yield
39.71613,Yield
39.676117,Yield
31.798565,Biomass
32.19955,Biomass
31.39236,Biomass
37.46496,Biomass
35.243587,Yield
38.952755,Biomass
35.95229,Biomass
34.81187,Biomass
38.163414,Plant growth
37.185444,Yield
37.555954,Biomass
33.751755,Biomass
35.726543,Biomass
33.944794,Biomass
31.252974,Biomass
39.736046,Yield
35.314594,Yield
30.432247,Biomass
36.056633,Yield
33.899574,Biomass
